player_name,team_name,shot_zone_basic,games_played,shot_attempts,shots_made,shooting_percentage,player_photo,team_logo
Mikal Bridges,Brooklyn Nets,Mid-Range,82,179,73,0.407821229050279,https://cdn.nba.com/headshots/nba/latest/1040x760/1628969.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
James Wiseman,Detroit Pistons,In The Paint (Non-RA),63,103,42,0.407766990291262,https://cdn.nba.com/headshots/nba/latest/1040x760/1630164.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Jabari Smith Jr.,Houston Rockets,Mid-Range,76,130,53,0.407692307692308,https://cdn.nba.com/headshots/nba/latest/1040x760/1631095.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg
Austin Reaves,Los Angeles Lakers,Right Corner 3,82,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1630559.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Bruce Brown,Toronto Raptors,Mid-Range,67,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1628971.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
Craig Porter Jr.,Cleveland Cavaliers,Above the Break 3,51,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1641854.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Darius Garland,Cleveland Cavaliers,Right Corner 3,57,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1629636.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Desmond Bane,Memphis Grizzlies,Right Corner 3,42,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1630217.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Jaren Jackson Jr.,Memphis Grizzlies,Mid-Range,66,27,11,0.407407407407407,https://cdn.nba.com/headshots/nba/latest/1040x760/1628991.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Jalen Suggs,Orlando Magic,Above the Break 3,75,280,114,0.407142857142857,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
Killian Hayes,Detroit Pistons,Mid-Range,42,86,35,0.406976744186047,https://cdn.nba.com/headshots/nba/latest/1040x760/1630165.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Jalen Suggs,Orlando Magic,Left Corner 3,75,59,24,0.406779661016949,https://cdn.nba.com/headshots/nba/latest/1040x760/1630591.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
Maxi Kleber,Dallas Mavericks,Above the Break 3,43,59,24,0.406779661016949,https://cdn.nba.com/headshots/nba/latest/1040x760/1628467.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
Rui Hachimura,Los Angeles Lakers,In The Paint (Non-RA),68,123,50,0.40650406504065,https://cdn.nba.com/headshots/nba/latest/1040x760/1629060.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Donovan Mitchell,Cleveland Cavaliers,In The Paint (Non-RA),55,160,65,0.40625,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Duop Reath,Portland Trail Blazers,In The Paint (Non-RA),68,96,39,0.40625,https://cdn.nba.com/headshots/nba/latest/1040x760/1641871.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
Georges Niang,Cleveland Cavaliers,Right Corner 3,82,64,26,0.40625,https://cdn.nba.com/headshots/nba/latest/1040x760/1627777.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg
Scotty Pippen Jr.,Memphis Grizzlies,Above the Break 3,21,64,26,0.40625,https://cdn.nba.com/headshots/nba/latest/1040x760/1630590.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Jaden McDaniels,Minnesota Timberwolves,Mid-Range,72,69,28,0.405797101449275,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
LeBron James,Los Angeles Lakers,Above the Break 3,71,318,129,0.405660377358491,https://cdn.nba.com/headshots/nba/latest/1040x760/2544.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Pascal Siakam,Toronto Raptors,Mid-Range,80,74,30,0.405405405405405,https://cdn.nba.com/headshots/nba/latest/1040x760/1627783.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg
Patrick Beverley,Milwaukee Bucks,In The Paint (Non-RA),73,37,15,0.405405405405405,https://cdn.nba.com/headshots/nba/latest/1040x760/201976.png,https://cdn.nba.com/logos/nba/1610612749/primary/L/logo.svg
Mike Conley,Minnesota Timberwolves,In The Paint (Non-RA),76,116,47,0.405172413793103,https://cdn.nba.com/headshots/nba/latest/1040x760/201144.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg
Gordon Hayward,Charlotte Hornets,Mid-Range,51,79,32,0.405063291139241,https://cdn.nba.com/headshots/nba/latest/1040x760/202330.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg
Rui Hachimura,Los Angeles Lakers,Right Corner 3,68,42,17,0.404761904761905,https://cdn.nba.com/headshots/nba/latest/1040x760/1629060.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Malcolm Brogdon,Portland Trail Blazers,Above the Break 3,39,173,70,0.404624277456647,https://cdn.nba.com/headshots/nba/latest/1040x760/1627763.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg
Dennis Schroder,Brooklyn Nets,Above the Break 3,80,131,53,0.404580152671756,https://cdn.nba.com/headshots/nba/latest/1040x760/203471.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
Jacob Gilyard,Memphis Grizzlies,Above the Break 3,41,89,36,0.404494382022472,https://cdn.nba.com/headshots/nba/latest/1040x760/1631367.png,https://cdn.nba.com/logos/nba/1610612763/primary/L/logo.svg
Marcus Sasser,Detroit Pistons,Mid-Range,71,94,38,0.404255319148936,https://cdn.nba.com/headshots/nba/latest/1040x760/1631204.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Obi Toppin,Indiana Pacers,Above the Break 3,82,146,59,0.404109589041096,https://cdn.nba.com/headshots/nba/latest/1040x760/1630167.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg
Wendell Carter Jr.,Orlando Magic,Above the Break 3,55,99,40,0.404040404040404,https://cdn.nba.com/headshots/nba/latest/1040x760/1628976.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
Matt Ryan,New Orleans Pelicans,Above the Break 3,28,62,25,0.403225806451613,https://cdn.nba.com/headshots/nba/latest/1040x760/1630346.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg
Tyrese Maxey,Philadelphia 76ers,In The Paint (Non-RA),70,310,125,0.403225806451613,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png,https://cdn.nba.com/logos/nba/1610612755/primary/L/logo.svg
Brandin Podziemski,Golden State Warriors,In The Paint (Non-RA),74,191,77,0.403141361256544,https://cdn.nba.com/headshots/nba/latest/1040x760/1641764.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg
Sam Hauser,Boston Celtics,Above the Break 3,79,340,137,0.402941176470588,https://cdn.nba.com/headshots/nba/latest/1040x760/1630573.png,https://cdn.nba.com/logos/nba/1610612738/primary/L/logo.svg
D'Angelo Russell,Los Angeles Lakers,In The Paint (Non-RA),76,224,90,0.401785714285714,https://cdn.nba.com/headshots/nba/latest/1040x760/1626156.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg
Kevin Durant,Phoenix Suns,Above the Break 3,75,339,136,0.40117994100295,https://cdn.nba.com/headshots/nba/latest/1040x760/201142.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg
Aaron Wiggins,Oklahoma City Thunder,Left Corner 3,78,45,18,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630598.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg
Alec Burks,Detroit Pistons,Above the Break 3,66,175,70,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/202692.png,https://cdn.nba.com/logos/nba/1610612765/primary/L/logo.svg
Bones Hyland,Los Angeles Clippers,In The Paint (Non-RA),37,45,18,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630538.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Cole Anthony,Orlando Magic,Left Corner 3,81,35,14,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg
Daniel Theis,Los Angeles Clippers,Above the Break 3,60,50,20,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1628464.png,https://cdn.nba.com/logos/nba/1610612746/primary/L/logo.svg
Dante Exum,Dallas Mavericks,Left Corner 3,55,25,10,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/203957.png,https://cdn.nba.com/logos/nba/1610612742/primary/L/logo.svg
Day'Ron Sharpe,Brooklyn Nets,In The Paint (Non-RA),61,50,20,0.4,https://cdn.nba.com/headshots/nba/latest/1040x760/1630549.png,https://cdn.nba.com/logos/nba/1610612751/primary/L/logo.svg
